name	id	size	polynomial	init	xor_out	reflect_in	reflect_out	check_value	applications
	crc8	8	0x7	0	0x0	0	0	0xf4	SMBUS
ITU	crc8_itu	8	0x7	0	0x55	0	0	0xa1	I-432-1, ITU
ROHC	crc8_rohc	8	0x7	0xff	0x0	1	1	0xd0	ROHC
GSM-A	crc8_gsm_a	8	0x1d	0	0x0	0	0	0x37	GSM-A
MIFARE-MAD	crc8_mifare_mad	8	0x1d	0xc7	0x0	0	0	0x99	MIFARE-MAD
I-CODE	crc8_i_code	8	0x1d	0xfd	0x0	0	0	0x7e	I-CODE
EBU	crc8_ebu	8	0x1d	0xff	0x0	1	1	0x97	TECH-3250, AES, EBU
SAE-J1850	crc8_sae_j1850	8	0x1d	0xff	0xff	0	0	0x4b	SAE-J1850
OPENSAFETY	crc8_opensafety	8	0x2f	0	0x0	0	0	0x3e	OPENSAFETY
AUTOSAR	crc8_autosar	8	0x2f	0xff	0xff	0	0	0xdf	AUTOSAR
MAXIM	crc8_maxim	8	0x31	0	0x0	1	1	0xa1	MAXIM-DOW, MAXIM
NRSC-5	crc8_nrsc_5	8	0x31	0xff	0x0	0	0	0xf7	NRSC-5
DARC	crc8_darc	8	0x39	0	0x0	1	1	0x15	DARC
GSM-B	crc8_gsm_b	8	0x49	0	0xff	0	0	0x94	GSM-B
LTE	crc8_lte	8	0x9b	0	0x0	0	0	0xea	LTE
WCDMA	crc8_wcdma	8	0x9b	0	0x0	1	1	0x25	WCDMA
CDMA2000	crc8_cdma2000	8	0x9b	0xff	0x0	0	0	0xda	CDMA2000
Bluetooth	crc8_bluetooth	8	0xa7	0	0x0	1	1	0x26	Bluetooth
DVB-S2	crc8_dvb_s2	8	0xd5	0	0x0	0	0	0xbc	DVB-S2
DECT-X	crc16_dect_x	16	0x589	0	0x0	0	0	0x7f	DECT-X
DECT-R	crc16_dect_r	16	0x589	0	0x1	0	0	0x7e	DECT-R
NRSC-5	crc16_nrsc_5	16	0x80b	0xffff	0x0	1	1	0xa066	NRSC-5
	crc16	16	0x1021	0	0x0	0	0	0x31c3	XMODEM, ACORN, LTE, V-41-MSB
Kermit	crc16_kermit	16	0x1021	0	0x0	1	1	0x2189	Kermit, CCITT, CCITT-TRUE, V-41-LSB
GSM	crc16_gsm	16	0x1021	0	0xffff	0	0	0xce3c	GSM
AUG-CCITT	crc16_aug_ccitt	16	0x1021	0x1d0f	0x0	0	0	0xe5cc	SPI-FUJITSU, AUG-CCITT
TMS37157	crc16_tms37157	16	0x1021	0x89ec	0x0	1	1	0x26b1	TMS37157
RIELLO	crc16_riello	16	0x1021	0xb2aa	0x0	1	1	0x63d0	RIELLO
A	crc16_a	16	0x1021	0xc6c6	0x0	1	1	0xbf05	ISO-IEC-14443-3-A
IBM-3740	crc16_ibm3740	16	0x1021	0xffff	0x0	0	0	0x29b1	ARINC ACARS, IBM-3740, AUTOSAR, CCITT-FALSE
MCRF4XX	crc16_mcrf4xx	16	0x1021	0xffff	0x0	1	1	0x6f91	MCRF4XX
GENIBUS	crc16_genibus	16	0x1021	0xffff	0xffff	0	0	0xd64e	GENIBUS, DARC, EPC, EPC-C1G2, I-CODE
X-25	crc16_x_25	16	0x1021	0xffff	0xffff	1	1	0x906e	IBM-SDLC, ISO-HDLC, ISO-IEC-14443-3-B, X-25
PROFIBUS, IEC-61158-2	crc16_iec_61158_2	16	0x1dcf	0xffff	0xffff	0	0	0xa819	PROFIBUS, IEC-61158-2
EN-13757	crc16_en_13757	16	0x3d65	0	0xffff	0	0	0xc2b7	EN-13757
DNP	crc16_dnp	16	0x3d65	0	0xffff	1	1	0xea82	DNP
OPENSAFETY-A	crc16_opensafety_a	16	0x5935	0	0x0	0	0	0x5d38	OPENSAFETY-A
LJ1200	crc16_lj1200	16	0x6f63	0	0x0	0	0	0xbdf4	LJ1200
OPENSAFETY-B	crc16_opensafety_b	16	0x755b	0	0x0	0	0	0x20fe	OPENSAFETY-B
BUYPASS	crc16_verifone	16	0x8005	0	0x0	0	0	0xfee8	UMTS, BUYPASS, VERIFONE
ARC	crc16_lha	16	0x8005	0	0x0	1	1	0xbb3d	ARC, LHA
MAXIM	crc16_maxim	16	0x8005	0	0xffff	1	1	0x44c2	MAXIM-DOW, MAXIM
DDS-110	crc16_dds_110	16	0x8005	0x800d	0x0	0	0	0x9ecf	DDS-110
CMS	crc16_cms	16	0x8005	0xffff	0x0	0	0	0xaee7	CMS
Modbus	crc16_modbus	16	0x8005	0xffff	0x0	1	1	0x4b37	Modbus
USB	crc16_usb	16	0x8005	0xffff	0xffff	1	1	0xb4c8	USB
T10-DIF	crc16_t10_dif	16	0x8bb7	0	0x0	0	0	0xd0db	T10-DIF
TELEDISK	crc16_teledisk	16	0xa097	0	0x0	0	0	0xfb3	TELEDISK
CDMA2000	crc16_cdma2000	16	0xc867	0xffff	0x0	0	0	0x4c06	CDMA2000
XFER	crc32_xfer	32	0xaf	0	0x0	0	0	0xbd0be338	XFER
POSIX	crc32_posix	32	0x4c11db7	0	0xffffffff	0	0	0x765e7680	CKSUM, POSIX
MPEG-2	crc32_mpeg_2	32	0x4c11db7	0xffffffff	0x0	0	0	0x376e6e7	MPEG-2
JAMCRC	crc32_jamcrc	32	0x4c11db7	0xffffffff	0x0	1	1	0x340bc6d9	JAMCRC
BZIP2	crc32_dect_b	32	0x4c11db7	0xffffffff	0xffffffff	0	0	0xfc891918	BZIP2, AAL5, DECT-B
	crc32	32	0x4c11db7	0xffffffff	0xffffffff	1	1	0xcbf43926	zlib, ISO-HDLC, ADCCP, V-42, XZ
Castagnoli	crc32_castagnoli	32	0x1edc6f41	0xffffffff	0xffffffff	1	1	0xe3069283	ISCSI, BASE91-C, INTERLAKEN
CD-ROM-EDC	crc32_cd_rom_edc	32	0x8001801b	0	0x0	1	1	0x6ec2edc4	CD-ROM-EDC
AIXM	crc32_aixm	32	0x814141ab	0	0x0	0	0	0x3010bf7f	AIXM
BASE91-D	crc32_base91_d	32	0xa833982b	0xffffffff	0xffffffff	1	1	0x87315576	BASE91-D
AUTOSAR	crc32_autosar	32	0xf4acfb13	0xffffffff	0xffffffff	1	1	0x1697d06a	AUTOSAR
GO-ISO	crc64_go_iso	64	0x1b	0xffffffffffffffff	0xffffffffffffffff	1	1	0xb90956c775a41001	GO-ISO
ECMA-182	crc64_ecma_182	64	0x42f0e1eba9ea3693	0	0x0	0	0	0x6c40df5f0b497347	ECMA-182
WE	crc64_we	64	0x42f0e1eba9ea3693	0xffffffffffffffff	0xffffffffffffffff	0	0	0x62ec59e3f1a4f00a	WE
XZ	crc64_xz	64	0x42f0e1eba9ea3693	0xffffffffffffffff	0xffffffffffffffff	1	1	0x995dc9bbdf1939fa	XZ, GO-ECMA
HITAG	crc8_hitag	8	29	255	0	0	0	180	HITAG
M17	crc16_m16	16	22837	0xffff	0	0	0	30507	
MEF	crc32_mef	32	1947962583	4294967295	0	1	1	3535941457	
Microsoft	crc64_microsoft	64	0x259c84cba6426349	0xffffffffffffffff	0x0000000000000000	1	1	0x75d4b74f024eceea	File Classification Infrastructure
Jones	crc64_jones	64	0xad93d23594c935a9	0	0x0	1	1	0xe9c6d914c4b8d9ca	Redis
Chakravarty	crc16_chakravarty	16	0x2f15	0xffff	0xffff	1	1	0x78c4	
Koopman	crc32_k	32	0x741b8cd7	0xFFFFFFFF	0xFFFFFFFF	1	1	0x2d3dd0ae	
Koopman 2	crc32_k2	32	0x32583499	0	0	1	1	0x6425c10	
